but_cluthers
Id;Title;Description;CreatedAt;source;Sentiment;Categories
1510;Je suis déçu  que personne   n est répondu à ma requête;Livraison ok mais n à pas repris l  ancienne  literie. Et pas de nouvelle;2024-11-06 10:28:37;Trustpilot;6.15;Service et SAV, Expérience e-commerce
1511;Déçu montage cuisine;Nous avons laissé poser notre cuisine, par un monteur agréé but.Le plan de travail des 2 côtés (angle en L), est de travers, pas beaucoup, mais ça se voit.La hauteur des pieds pour les meubles pas adapté. Il refuse de les changer. Trop d'écart entre les meubles, mauvaise mise en place du meuble à épices.Le pire, c'est que le monteur nous dit que nous avons acheté de mauvaise qualité, en robinetterie. Je veux mettre une étagère dans un coin, il se permet de me dire que c'est moche et n'importe quoi.Le monteur est d'une arrogance. Nous faisons de notre cuisine ce que nous voulons.J'ai travaillé chez un cuisiniste en usine, de très grande renommée, je sais de quoi je parle en cuisine.;2024-10-26 10:28:38;Trustpilot;3.06;Montage et installation, Service et SAV, Qualité produit
1512;Bonjour super experience j ai acheté…;Bonjour super experience j ai acheté une machine à laver le vendeur à été très compétent il m'a proposé un financement passage en caisse très rapide merci but je reviendrais;2024-11-05 10:28:38;Trustpilot;8.65;Expérience en magasin, Financement et promotions
1513;Honteux!;"J'ai acheté un canapé il y a deux mois, qui devait arriver le 18 octobre. Nous voilà bientôt le 18 Novembre et ce dernier toujours en attente de réapprovisionnement ! Quel professionnalisme que de vendre des articles qu'on a plus en stock... Et chaque appel au service client donne lieu à un ""nous sommes désolés"" sans la moindre solution ou geste commercial ! Je ne peux pas dire que je recommande But...";2024-10-18 10:28:38;Trustpilot;1.23;Expérience e-commerce, Service et SAV
1514;BUT et ses partenaires;De toute évidence : ENSEIGNE A FUIRn'assure pas le service après vente et ne se préoccupe ni de son propre manque de communication ni de l'incompétence et de l'agressivité de ses partenaires.En attente d'un remboursement de plus de 400eBUT = 1 étoile : parce que 0 est physiquement impossible à cliquer.;2024-11-12 10:28:38;Trustpilot;0.92;Service et SAV, Expérience e-commerce
1515;Impeccable;Très belle déco !!;2024-11-09 10:28:38;Trustpilot;8.94;
1516;Très agréable magasin.;Très agréable magasin.Le personnel est vraiment très attentif et agreable;2024-10-28 10:28:38;Trustpilot;9.05;Expérience en magasin
1517;BIEN;BIEN . FACILE .;2024-11-10 10:28:38;Trustpilot;7.42;
1518;Exposition article;Nous étions étonnés de ne pas voir en exposition l'article que nous avons acheté alors qu'il était en promotion.;2024-11-11 10:28:38;Trustpilot;4.47;Financement et promotions, Expérience en magasin
1519;Au top;Au top super vendeuse qui nous a très bien conseillé. En plus le matelas est arrivé beaucoup plus vite que prévu. Et le matelas est tellement confortable.;2024-10-05 10:28:38;Trustpilot;9.18;Expérience en magasin, Qualité produit
1520;Répond à mes attentes;Propre , accueil pro , produit adapté à mes recherches !! Prêt d'un véhicule , reprise du vieux matériel ( benne a mobilier ) mis a dispo .Je recommande ce magazin Merci !!;2024-11-01 10:28:38;Trustpilot;9.15;Expérience en magasin
1521;Vendeur très sympa et de bon conseil.;;2025-02-10 10:28:38;Trustpilot;;
1522;service après vente a revoir;";Apres 2 mois d'attente pour la réparation du 1er réfrigérateur ,But nous annonce qu'ils le changent car pas réparable . Le service après vente sur le matériel encore sous garanti n'est pas terrible, impossible de joindre les magasins, on tombe sur une plateforme. .Je ne sais pas si je reviendrai chez But , j'ai été très déçu.";2024-11-05 10:28:38;Trustpilot;2.06;Service et SAV, Qualité produit
1523;Bonjour à tous;Bonjour à tous. Je met 1 étoile parce qu'il faut mettre quelque chose mais l'expérience que j'ai eu ce matin même ne vaut tout simplement que 0.Je suis allé chez But Evreux pour acheter un fauteuil informatique. Ne voyant aucun chariot de disponible, j'ai demandé à ce que le colis me soit amené  à la voiture étant handicapé. Lorsque je suis allé cherché mon colis à l'entrepot l'un des employés aidait une femme à transporter son colis à sa voiture. Tout ce qu'il y a de plus normal. Lorsque l'employé m'a apporter mon colis accompagné d'un ce ses collègues, ils m'ont assuré que le colis n'était pas lourd et que je pouvais le porter moi-même. Comme ils voulaient pas entendre raison, je me suis exécuté. Le colis dans la voiture je suis allé me plaindre à la direction en leur présentant ma carte d'handicap. J'étais au bord de la syncope. La tension était encore à plus de 15 une fois rentré. Ce comportement est tout bonnement inadmissible. Si j'avais consulté vos avis je n'y serais pas allé. Handicapés fuyez But.;2024-11-09 10:28:38;Trustpilot;0.6;Service et SAV, Expérience en magasin
1524;Trés belle accueil;Trés belle accueil, équipe à votre service des vendeurs à l'enlévement, pleinement satisfait;2024-11-07 10:28:38;Trustpilot;8.83;Expérience en magasin
1525;Très bon accueil;Très bon accueil, personnel très agréable.;2024-11-02 10:28:38;Trustpilot;9.12;Expérience en magasin
1526;SAV pitoyable !!!;Pour vendre il y a du monde mais par contre pour assurer le service après vente suite à une panne sous garantie plus personne !! 3 semaines qu’on attend une réparation sous prise de rendez-vous pour au final poser une journée de travail afin de pouvoir être présent au domicile (machine à laver), un technicien qui ne se présente pas dans les délai entre 8h et 13h … et avoir aucune information à part « patientez jusqu’après 19h passé, sinon rappelez demain matin» … c’est lamentable !!Résultat : 1 journée de perdue + 3 semaines d’attente pour rien. Fuyez cette enseigne !!!;2024-11-08 10:28:38;Trustpilot;1.75;Service et SAV
1527;personne peu agréable pour donnerr une info;Des vendeurs(ses) agréables et compétents(es) ainsi que le responsable du rayon fauteuils et canapésMAIS pour avoir souhaité un complément d'infos concernant le paiement par carte la DAME m'a froidement demandé si je savais lire!!! c'est bien la 1° fois une telle réponse! Bavo madame mais vous devez apprendre un minimum de politesse surtout lorsqu'on est correct avec vous.;2024-11-07 10:28:38;Trustpilot;5.52;Financement et promotions, Expérience en magasin
1528;acheter un combi whirlpool en 2019 …;acheter un combi whirlpool en 2019  avec garantie extension de 5 ans il vient de tomber en panne et but ne veux rien savoir  pas de réparation  au vu de la garantie  fini je peux payer  bref c est un comble c est boulanger qui se déplace a mon domicile pour les réparations  c est honteux de voir ceci de nos jours juste bon a ce moquer de nous dommage pour but d avoir perdu une bonne cliente et ravis pour boulanger de m avoir récupérer;2024-11-06 10:28:39;Trustpilot;1.96;Service et SAV, Qualité produit
1529;Un problème avec une machine à laver…;Un problème avec une machine à laver que j’ai depuis un mois, en panne avec le linge à l’intérieur car le hublot est bloqué, je dois attendre le 22 11 pour être dépannée incroyable  cordialement Mme Addinsell;2024-11-04 10:28:39;Trustpilot;2.6;Qualité produit, Service et SAV
1530;J’ai reçu mon meuble tv fissuré :)  et…;J’ai reçu mon meuble tv fissuré :)  et en plus la livraison a eue beaucoup de retard :);2024-11-06 10:28:39;Trustpilot;2.97;Qualité produit, Expérience e-commerce
1531;Achat d'un lave linge;Je suis tombée sur un super vendeur qui a pris le temps de chercher le modèle de lave linge adapté à mes besoins et surtout en respectant mon budget.  Je suis ravie de mon achat.;2024-11-02 10:28:39;Trustpilot;5.75;Qualité produit, Expérience en magasin
1532;Déçue aussi bien sur les informations…;Déçue aussi bien sur les informations que le délai d'attente, de plus il me manque une étagère et on me dit que tout est normal !;2024-10-23 10:28:39;Trustpilot;3.63;Expérience e-commerce, Service et SAV
1533;La pire experience de ma vie;Voici mon avis sur BUT :Je suis extrêmement déçu de mon expérience avec BUT. Ils nous ont vendu une crédence et un plan de travail en nous assurant qu'ils étaient de bonne qualité. Cependant, la réalité est tout autre. Cela ne fait même pas un an que nous les avons installés, et ils sont déjà complètement abîmés, pleins de rayures ! Ce n’est pas normal pour des produits censés être durables. Je me sens trompé, car le vendeur nous avait promis de la robustesse. Je ne recommande absolument pas BUT pour l'achat de meubles de cuisine.Je ne vais même pas entrer dans les détails de tout le reste qui n'a pas fonctionné… Tout a été une véritable catastrophe depuis le moment où nous avons payé 100 % du montant avant même la livraison de la cuisine. L'homme qui est venu poser la cuisine était incroyablement impoli et a laissé la moitié des éléments non montés, prétextant que ce n'était pas son travail. Franchement, je déconseille BUT : entre les mensonges, les produits de mauvaise qualité, et le service exécrable, c'est une expérience que je ne souhaite à personne.N'oubliez pas que c'est aussi à vous (le client) de déballer la cuisine et de vous assurer que rien n'est endommagé... Clairement, le service après-vente chez BUT laisse à désirer..... J'aurais pu acheter exactement la même cuisine chez IKEA pour moitié prix. En plus d'un service bien meilleur, j'aurais eu des produits de qualité au lieu de cette catastrophe. Je regrette vraiment d'avoir choisi BUT et je déconseille fortement à quiconque de faire la même erreur.;2024-10-10 10:28:39;Trustpilot;1.21;Expérience en magasin, Qualité produit, Montage et installation, Service et SAV
1534;5/5 tout s’est très bien déroulé;5/5 tout s’est très bien déroulé . Montage rapide .;2024-11-06 10:28:39;Trustpilot;9.59;Montage et installation
1535;livraison 50% du prix!;Aprés de longue recherche, je trouve des meubles qui me conviennent sur But.fr avec des bon prix mais disponible uniquement à la livraison..bon ok, je commence à passer commande, à chaque meuble c'est au moins 35€ de frais par meubles livré! C'est une honte les meubles sont à 49€ livré pour 35€ et que dans 20jours en plus!!;2024-11-05 10:28:39;Trustpilot;5.42;Expérience e-commerce
1536;L'accueil chaleureux, conseils avisés;L'accueil chaleureux, les conseils avisés, le commercial m'a proposé de tester plusieurs canapés, m'a laissé prendre mon temps ce qui m'a permis de choisir en fonction de mes attentes comme l'empatement (place) sur mon salon, la couleur, le confort, la facilité de montage (5mn montre en main) et son prix raisonnable par rapport à la qualité du produit.;2024-10-30 10:28:39;Trustpilot;8.65;Qualité produit, Montage et installation, Expérience en magasin
1537;Vente forcée par omission But Cholet;Le discours trompeur de la vendeuse pour vous ajouter à votre insu une garantie prolongée à 90 euros, non souhaitée, en omettant de préciser que le matelas à 300 euros est déjà garantie 5 ans et le sommier à 190 euros est déjà garantie 2 ans.;2024-08-23 10:28:39;Trustpilot;1.68;Service et SAV, Expérience en magasin
1538;Promotion CANAPÉ GIOVANNI MENSONGÈRE POUR NOËL;Bonjour, alors je sais pas si but nous prends pour des dindes de Noël, c’est peut-être la période des fausses promo de Noël, mais pouvez-vous m’expliquer ce problème de mathématique ?? Lors de mon passage en magasin, exactement le 31 août 2024, capture d’écran effectué à 12h58 sur l’étiquette du canapé d’angle méridienne GIOVANNI afficher à 1599€ ( je me dis tiens c’est Noël, je vais l’acheter ) je vais sur le site, je vois que vous l’annoncer à 1999€ en promo à 1899€, pouvez-vous m’expliquer la hausse de 400€ ? Pour le même produit, la tendance est à l’inflation mais prenez pas les gens pour des dindes.Photo à l’appui, je peux me déplacer en magasin pour que l’on m’explique cela, mais comme je vous aimes bien But je suis votre logique, 1599€ -100€ promo le canapé vaut 1499€ mais je veux pas de l’inflation de votre augmentation à 400€ pour la période Noël vous me le descendez à 1199€ ?? C’est un peu une grosse publicité mensongère but non ??? Dans l’attente de votre réponse ou du canapé à mon domicile.;2024-11-04 10:28:39;Trustpilot;2.42;Expérience en magasin, Financement et promotions
1539;Bien conseillé;Bien conseillé,  personnel du magasin en passant par la caisse et la récupération du produit très agréable et très serviable;2024-10-25 10:28:39;Trustpilot;8.37;Expérience en magasin
1540;BUT plus jamais;J'ai acheté un canapé QUARTZ chez BUT, au prix de 2484.99 € assurance 5 ans comprise.Au bout de 10 semaines j'ai reçu le canapé. Une fois déballé j'ai constaté des plis sur les assises, sur les côtés et sur les têtières.J'ai attendu 5 jours pour voir si cela s'arrangeait, ça n'a pas été le cas donc j'ai contacté le magasin pour que l'on me change ce canapé.Le SAV me propose, en unique solution, de m'envoyer un technicien. qui va :- déhousser entièrement le canapé-mettre des renforts métalliques dans les têtières-remettre des mousses -repasser le tissu pour le tendre-remonter le total Cerise sur le gâteau, les travaux seraient effectués dans mon salon !!!;2024-02-02 10:28:39;Trustpilot;1.93;Qualité produit, Service et SAV, Montage et installation
1541;Top super comfortable;Top super comfortable;2024-10-19 10:28:39;Trustpilot;9.14;Qualité produit
1542;Très bonne expérience;Le service client téléphonique, ce n'est pas la fête, donne des infos inexactes. Par contre, j'ai pu contacter directement les vendeuses des rayons qui  m’intéressaient à Perpignan Sud,(1000km de chez moi pour un emménagement dans un appartement vide), et j'ai été très bien renseignée et servie (Merci Ange, j'espère que votre employeur est reconnaissant). Tout s'est vraiment bien passé, et la suite (livraisons/installations un mois plus tard, prise de rendez vous, suivi de commande) impeccable aussi. Merci d'avoir facilité mon emménagement :);2024-09-16 10:28:39;Trustpilot;7.47;Service et SAV, Expérience en magasin, Expérience e-commerce, Montage et installation
1543;Achat d’un lave linge chez But;Achat d’un lave linge chez But. Celui ci déchire, lave mal, fait boulocher le linge. Zéro prise en charge du SAV. Qui renvoie vers le constructeur  (illégal). Déploiement de la protection juridique et prise en charge en SAV 9 mois après la demande initiale. Après 2 mois de vérification de l’appareil celui est en parfait état !!! Une blague, a fuir, mépris du client !;2024-10-31 10:28:39;Trustpilot;1.25;Qualité produit, Service et SAV
1544;Zero qualité but.fr et moderation de leur site d'avis ..;"Je note que mon avis ci-dessous publié sur avis vérifié a été ""modéré"" facile d'avoir des bonnes notes quand ont fait le tri ;-(""Le site But est dysfonctionnelimpossible de retrouver mes commandes liens de pages cassés à tous les niveauxet j'ai acheté du Next 3 qualité déplorable, trou des chevilles trop profoinds, vis qui cassent roulettes extyrèmement fragiles bref fuyez""";2024-10-26 10:28:39;Trustpilot;2.87;Montage et installation, Expérience e-commerce, Qualité produit
1545;très bon magasin pour tous type de…;très bon magasin pour tous type de meubleacceuil chaleureux , on vous oriente vers vos choix ainsi que de bon conseils cordialement merci .;2024-10-31 10:28:39;Trustpilot;8.83;Expérience en magasin
1546;SAV plus que mauvais;SAV plus que mauvais ! Magasin à  éviter à tout prix.;2024-10-30 10:28:40;Trustpilot;2.4;Service et SAV
1547;Très bon expérience sur mes différents…;Très bon expérience sur mes différents achats en magasin et web. Je n'ai pas eu besoin de traiter avec le SAV donc je ne peut pas en juger;2024-10-24 10:28:40;Trustpilot;8.53;Expérience en magasin, Expérience e-commerce
1548;Bon offert par BUT ce qui m'a…;Bon offert par BUT ce qui m'a encourager à acheter +tôt le fauteuil;2024-10-28 10:28:40;Trustpilot;7.64;Financement et promotions
1549;Bon accueil bon conseil et vendeur très…;Bon accueil bon conseil et vendeur très sympathique;2024-10-14 10:28:40;Trustpilot;8.53;Expérience en magasin
1550;Équipe et matériel au top;Chaque. Employé rencontré dans ce magasin était vraiment très agréable. L’accueil est top, de l’entrée à la caisse, tout le monde est super gentil. On reviendra avec grand plaisir.;2024-10-25 10:28:40;Trustpilot;9.31;Expérience en magasin
1551;Achat d'un canapé en magasin;Achat d'un canapé en magasin. Une fois livré avec les cartons déchiquettés par les livreurs le canapé est trop grand. Le magasin But de Saint Jean de Maurienne (où l'achat a été fait) ne veut rien entendre. Pas de reprise avec avoir ni de remboursement.Pour une grande enseigne comme celle ci cela est inadmissible. A fuir....;2024-10-25 10:28:40;Trustpilot;1.52;Qualité produit, Service et SAV, Expérience en magasin
1552;Très bon accueil et un personnel…;Très bon accueil et un personnel sympathique, pas envahissant, Bon choix de produits à l'intérieur et magasin propre ça donne confiance;2024-10-18 10:28:40;Trustpilot;8.97;Expérience en magasin
1553;jessica;Merci à Jessica de Dreux pour son accueil et son aide;2024-09-25 10:28:40;Trustpilot;7.45;Expérience en magasin
1554;Meuble payé et non reçu après 2 mois d’attente !;Bonjour J’ai commandé chez but un meuble en passant par mon frère. J’ai payé en magasin à but Montpellier or à ça jour soit 2 mois après toujours pas de meuble et personne pour me dire quand il arrivera on m’envoie balader au téléphone ! Inacceptable surtout que le meuble devait arriver soit 5 à 6 semaines donc c’est de la vente mensongère! Honteux;2024-08-26 10:28:40;Trustpilot;2.17;Service et SAV, Expérience e-commerce, Expérience en magasin
1555;bien;frais de livraison élever dommage quand on achète quand même pour une belle somme;2024-10-25 10:28:40;Trustpilot;5.95;Expérience e-commerce
1556;Personnel vente et après vente parfait;Personnel vente et après vente parfaitMais le service encaissement  désagréable Pas de bonjour manière de vous parler très rabaissant dommage Probleme récurant a chaque passage;2024-10-26 10:28:40;Trustpilot;3.23;Expérience en magasin, Service et SAV
1557;Très insatisfait du montage de notre…;Très insatisfait du montage de notre cuisine équipée. prises montées a l'envers (terre sur coté), crédences non commandées puis crédences collées a moitié, jour de 3 centimétres entre plinthe et meubles, meubles non alignés, cuisinière qui bouge, plinthe qui tombent seules. Photos disponible. Monteur incompétent;2024-05-28 10:28:40;Trustpilot;1.18;Montage et installation, Service et SAV
1558;Très bien conseillé pour mon achat;Très bien conseillé pour mon achat;2024-10-26 10:28:40;Trustpilot;8.93;Expérience en magasin
1559;Magasin au top personnel à l ecoute;;2025-02-10 10:28:40;Trustpilot;;
1560;Très beau rendu;Je mets 4 étoiles du fait du délai de livraison : 3 mois, c’est un peu long. J’ai acheté en ligne mais même en magasin, le lit n’était pas disponible immédiatement. Mais je ne regrette pas mon achat : le montage est simple et ne nécessite qu’une seule personne pour un rendu impeccable.;2024-10-24 10:28:40;Trustpilot;6.25;Qualité produit, Montage et installation, Expérience e-commerce
1561;Excellent magasin;Très bon accueil les produits sont de qualité avec un bon prix merci aux personnes qui nous  ont aidés dans notre choix Le magasin est agréable et propre;2024-10-08 10:28:40;Trustpilot;8.73;Expérience en magasin, Qualité produit
1562;Lit gigogne cassé en 2 au bout de 8 mois;Bonjour J'ai acheter 2 lits enfant en mars dernier...l'un d'eux depuis le début grince énormément, j'ai envoyer un courrier au SAV jamais eu de réponse.Il y a 2 jours ma fille s'assoit sur le lit comme sur une chaise tout simplement et là catastrophe le lit qui se casse en 2 la barre de devant à complètement lâché, car la barre qui maintient le sommier s'est complètement detaché cette barre est déjà monter donc ce n'ai pas nous qui l'avons monté.Précisons que ma fille ne fait même pas 30 kg.Je suis écœuré et je ne remettrai plus jamais les pieds chez but TERMINÉ.Et c'est bien dommage que je ne peux pas mettre de photo.Un lit 300e à la poubelle au bout d à peine 8 mois !!;2024-10-25 10:28:40;Trustpilot;0.76;Service et SAV, Qualité produit, Montage et installation
1563;Surtout pas SAV BUT;J’ai acheté dans votre enseigne BUT (a Saint Egreve), un réfrigérateur de la marque Sharp en date du 24/01/2023.Ce réfrigérateur m’a été conseillé par l’un de vos vendeurs et nous avons choisi volontairement une marque connue avec une garantie de 2 ans.Le 28/06/2024 j’ai fait appel à votre service après-vente car le réfrigérateur en question ne faisait plus assez de froid ce qui à provoquer la perte de l’ensemble des aliments stockés dans le frigo et dans le congélateur. Le dossier a été ouvert avec le N° DSB 240 6095 4391 le 28/06/24 à 13h27.Après un mois d’attente sans frigo, le technicien est intervenu le 26/07/24 et ce dossier a été clôturé.Malheureusement cette réparation n’a pas aboutie sur une solution pérenne et j’ai été contrainte de vous appeler une nouvelle fois le 05/08/24 pour une nouvelle demande de réparation. Un nouveau dossier a été ouvert sous le numéro DSB 24080 988 529 car le réfrigérateur était en panne. De nouveau j’ai été contrainte de jeter tous les aliments de mon frigo et de mon congélateur….Un RDV a été fixé pour le  07/08/24, soit 1 mois après ma demande. Une nouvelle fois j’ai été obligé de m’affranchir de mon frigo pendant 1 mois et ceci en pleine période estivale. Ce RDV a été annulé par vos soins le jour ou l’intervention devait avoir lieux…Vous avez décalé le rendez-vous pour le  13/08.Le 13/08, le technicien m’informe qu’une nouvelle pièce doit être commandée (le compresseur). Ce dernier élément a été reçu le 29/08. Un nouveau rendez-vous avec le technicien a été programmé pour le 16/09, ce qui représente une nouvelle fois une attente d’un mois sans pouvoir utiliser mon appareil.Le technicien est de nouveau intervenu le 16/09/24, mais sans succès. Pire le réfrigérateur se met maintenant à chauffer (parois chaudes et 27°C mesuré à l’intérieur), ce qui a provoqué une nouvelle fois la perte de mes aliments. Le nouveau compresseur est extrêmement chaud, (impossible de le toucher). Pour des questions évidentes de sécurité, je suis obligé d’éteindre à nouveau mon frigo.En résumé nous arrivons à plus de 3 mois d’attente et de désagrément et ce pendant l’été. Le préjudice de la nourriture qui a dû être jeté est estimé à plus de 150€ et mon réfrigérateur n’est toujours pas fonctionnel. Vous comprendrez très certainement mon désarroi et surtout ma déception de l’enseigne BUT. Je vous demande de bien vouloir procéder à un remplacement de mon réfrigérateur par un équivalent ou de procéder à un remboursement total de mon achat, car il est bien évidement in-envisageable d’attendre à nouveau plusieurs mois une hypothétique réparation.Je fais part de ce courrier à la direction car il est inacceptable de balader ses clients de cette manière. PS. pour avoir quelqu'un SAV MAIS à Saint Egrève il faut être patient et d'abord écouter les sifflements pendant une heure ou plusMon dernier téléphone 24/10/24 toujours pas de frigo;2024-10-24 10:28:41;Trustpilot;2.25;Qualité produit, Service et SAV
1564;Très bonne expérience;Je viens de m'installer au pays basque, il me fallait acheter, frigo, machine à laver, lit , bureau, canapé..J'ai réalisé tous mes achats au magasin BUT d'Anglet.Magasin que je recommande, très propre, et surtout très très bon accueil des équipes !!Merci à eux, pour les conseils et la rapidité de la livraison, au TOP !!;2024-08-21 10:28:41;Trustpilot;9.23;Expérience en magasin
1565;Il manque 2 étagères en verre dans mon…;Il manque 2 étagères en verre dans mon firgidaire acheté par le web, les livreurs ont emportés l'emballage donc remboursement difficile, et ils ont mis les fils de la box out of order et très mal poli;2024-10-21 10:28:41;Trustpilot;2.17;Qualité produit, Expérience e-commerce, Service et SAV
1566;Je recommande !;Super ! J'ai pu trouver rapidement un vendeur avec qui j'ai pu commander le meuble. 2 mins après, je retire la commande en retrait. Le vendeur m'a aidé à le mettre dans ma voiture et était très poli ! En ce qui concerne le produit, j'en suis très satisfaite.;2024-10-21 10:28:41;Trustpilot;9;Qualité produit, Expérience en magasin
1567;Livraison CA-TA-STRO-PHIQUE;"Livraison CA-TA-STRO-PHIQUE, je n'ai jamais vu ça.Accrochez vous car c'est la croix et la bannière pour se faire livrer :Je commande un sommier livré en 2 colis, on m'annonce une livraison pour jeudi.Le jeudi matin, pas de livraison car le livreur s'est retrouvé face à une route barrée et ne nous a pas appelé (il suffisait de prendre 1 rue plus loin, pas le bout du monde, ce serait réglé en 1 appel).Le soir même, je donne toutes les informations de livraison avec plan de la rue + mon numéro de téléphone au service client. Tout ceci est transmis au livreur.Vendredi matin : le livreur arrive, voit la route barrée, repart sans appeler. Une nouvelle fois.Vendredi après-midi : cette fois-ci le livreur a lu les informations de livraison et en arrivant il nous appelle et peut enfin livrer notre sommier. Au bout de la 3ème fois on y arriveLe hic, c'est qu'il n'a livré qu'1 seul colis sur 2.On en est à 3 livraisons et pas foutu de livrer les 2. Le livreur n'étais en plus pas très aimable accessoirement.Du coup je recontacte une nouvelle fois le service client et on nous informe que je cite :""Il a oublié le colis au centre"". Incroyable.Très bien, donc on nous propose une livraison express pour les pieds donc le lendemain soit le samedi. On me dit que le livreur me contactera par SMS.Tout ce que je reçois le lendemain c'est un SMS me disant que le colis ne rentre pas dans la boite aux lettres et que je dois reprogrammer ma livraison et payer les frais de livraison.J'ai faillis me faire avoir car c'était en réalité une arnaque visant à récupérer mes données bancaires , peut être que les arnaqueurs surveillent leurs livraisons ou bien c'est une coïncidence. Je n'en sais rien mais cela commence à faire beaucoup.Nous arrivons à Lundi, le Service client m'annonce que c'était bien une fraude. Le service de livraison ne leur a répondu que le lundi et ils nous livrent ce lundi même ces 4 foutus pieds de sommier qu'il manquait.Le livreur arrive l'après midi et nous appelle (miracle) mais il n'est pas foutu de prendre une rue plus loin. Ma femme lui dit de se garer à la Mairie juste à côté et elle descend récupérer le colis en main propre.Le livreur a le culot de draguer lourdement ma femme et on fini par avoir ce dernier colis.Pour résumer c'est lunaire, je ne passerais PLUS JAMAIS par leur service de livraison. 2 livraisons ratées bêtement car pas foutu d'appeler, 1 livraison avec la moitié des colis et une 4ème livraison avec option livreur bien lourd.Sans parler de service client qui met fin au dossier avant même d'avoir confirmer la réception du dernier colis. Et n'espérez pas un geste non plus.Je ne recommanderai pas chez eux tant qu'ils passent par ce service de livraison, des incapables.";2024-10-21 10:28:41;Trustpilot;2.2;Expérience e-commerce, Service et SAV
1568;Équipe professionnelle;Équipe professionnelle, souriante;2024-10-19 10:28:41;Trustpilot;8.02;Expérience en magasin
1569;Délai de livraison mensongég;Le 01 Août, achat d'un canapé chez BUT La Queue en Bry. Date de livraison prévue 17 Octobre. Sans nouvelle, j'ai appelé BUT le 17 au soir puis le 18 au matin. Rappel du vendeur pour m'entendre dire que l'arrivage du canapé ne sera pas avant fin Novembre. BUT ne respecte pas ses engagements, de plus aucune information reçue de leur part pour m'avertir. L'après-midi du 18 Octobre, le responsable du service devait m'appeler !!! J'attends encore.....Je ne conseille pas ce magasin et attend de leur part un geste commercial.;2024-08-01 10:28:41;Trustpilot;1.7;Expérience e-commerce, Financement et promotions, Service et SAV
1570;BUT ISSOUDUN SUPER BIEN ET LE PERSONNEL…;BUT ISSOUDUN SUPER BIEN ET LE PERSONNEL SUPER PRO;2024-10-15 10:28:41;Trustpilot;8.2;Expérience en magasin
1571;Nickel;Réfrigérateur congélateur de marque SIGNATURE acheté. Très joli design, prix accessible, espérant que l'espérance de vie sera tout autant satisfaisante 😉👍;2024-10-14 10:28:41;Trustpilot;8.07;Qualité produit
1572;Les produits sont bien et j’en suis…;Les produits sont bien et j’en suis satisfaite. Le magasin de Dreux est vraiment super bien. Les employés également.  Cependant, je trouve les explications de montage pas très compréhensible…  Le prix de la livraison est également beaucoup trop élevé par rapport à d’autres enseignes.  Ce qui est vraiment dommage.  Alors oui, vous mettez à disposition un prêt de camion mais pour les personnes qui ne peuvent pas les utiliser un prix raisonnable de la livraison serait vraiment apprécié.;2024-10-10 10:28:41;Trustpilot;6.89;Qualité produit, Montage et installation, Expérience en magasin, Expérience e-commerce
1573;Nous avons acheté un fauteuil relax en…;Nous avons acheté un fauteuil relax en juillet 2024 et l'accoudoir s'est cassé. Je me suis adressé au sav qui nous a demandé de ramener le fauteuil. Avant de le ramener, je suis allé au magasin afin de m'informer si je pouvais récupérer le montant de l'assurance qui n'a pas été proposée mais facturée d'office. Le bon à été signé par la vendeuse et non par mon épouse. Devant cet état de fait et pour ne rien acheté à but, j'ai décidé de réparer le fauteuil. Cela m'a pris 2 heures mais ça fonctionne. Conclusion, ne prenez pas d'assurance chez but.;2024-07-25 10:28:41;Trustpilot;2.69;Qualité produit, Financement et promotions, Expérience en magasin, Service et SAV
1574;Parfait 👍 vendeur de bons conseils et…;Parfait 👍 vendeur de bon conseil et agréable   Équipe de chargement au retrait commande aidante et agréable;2024-10-17 10:28:41;Trustpilot;9.12;Expérience en magasin
1575;Livraison et montage sous pression;Ma mère a acheté 1 canapé ce mercredi elle l a acheté livré ET MONTÉLa livraison ET LE MONTAGE ONT ETE PAYÉS À LA COMMANDEElle a pris le montage pour ne pas nous dérangerHors le livreur m a dit expressément au téléphone que si elle voulait qu il soit monté elle devait lui donner tout de suite 95 euros sinon il ne lui montait pasElle m a appelé et il m a dit la même choseJe lui ai dit  en colère que j arrivais car j étais avec elle lors de l achat et elle avait déjà payéQuand j ai repris ma mère au téléphone comme par hasard il était déjà en train de le monter mais il a dit à ma mère qu il m  attendait je suis venue très mécontente avec mon mari et il avait tort il devait le monterRésultat ma mère a payé mais NOUS AVONS EU L OBLIGATION DE NOUS DÉPLACER TOUT DE MÊME SANS COMPTER L ÉNERVEMENT LA PERTE DE TEMPS ET MA MÈRE 76 ANS HYPER STRESSÉE NON RESPECT DES PERSONNES ÂGÉESBut devrait mieux sélectionner ses livreurs afin que  les clients ne subissent pas ce genre de désagrément car nous avons déjà eu des problèmes et but n a jamais eu la correction de faire 1 geste commercial;2024-10-19 10:28:41;Trustpilot;2.12;Montage et installation, Expérience e-commerce, Expérience en magasin, Service et SAV
